"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2014","20,450","20,500","20,650","20,400","2.87M","-1.92%"
"09/12/2014","20,850","20,500","20,850","20,250","4.79M","1.71%"
"09/11/2014","20,500","20,275","20,625","20,100","3.50M","0.49%"
"09/10/2014","20,400","20,800","20,800","20,175","6.25M","-2.86%"
"09/09/2014","21,000","21,800","21,800","20,950","6.99M","-3.67%"
"09/08/2014","21,800","21,550","21,925","21,550","3.97M","1.16%"
"09/05/2014","21,550","21,550","21,575","21,350","3.71M","0.00%"
"09/04/2014","21,550","22,450","22,500","21,500","8.32M","-4.01%"
"09/03/2014","22,450","22,325","22,500","22,250","3.08M","1.01%"
"09/02/2014","22,225","22,350","22,350","22,100","2.42M","0.23%"
"09/01/2014","22,175","22,250","22,350","22,175","1.28M","0.11%"
"08/29/2014","22,150","22,250","22,375","22,125","3.60M","0.11%"
"08/28/2014","22,125","22,125","22,525","22,050","8.64M","0.00%"
"08/27/2014","22,125","22,525","22,650","22,100","7.83M","-2.43%"
"08/26/2014","22,675","23,225","23,300","22,525","3.93M","-2.05%"
"08/25/2014","23,150","23,400","23,400","23,025","3.56M","-1.59%"
"08/22/2014","23,525","23,900","24,175","23,350","3.93M","-2.69%"
"08/21/2014","24,175","24,200","24,400","23,800","2.63M","-0.92%"
"08/20/2014","24,400","24,225","24,400","24,100","1.97M","0.72%"
"08/19/2014","24,225","24,300","24,300","24,075","2.29M","0.52%"
"08/18/2014","24,100","24,200","24,200","24,000","533.20K","-0.10%"
"08/15/2014","24,125","24,000","24,200","23,850","756.00K","0.10%"
"08/14/2014","24,100","24,200","24,400","23,875","1.66M","-1.23%"
"08/13/2014","24,400","23,675","24,400","23,650","3.45M","3.06%"
"08/12/2014","23,675","24,125","24,175","23,500","2.95M","-2.07%"
"08/11/2014","24,175","24,400","24,400","23,900","2.84M","0.83%"
"08/08/2014","23,975","23,900","24,400","23,850","1.89M","0.00%"
"08/07/2014","23,975","23,575","24,200","23,575","3.56M","0.74%"
"08/06/2014","23,800","24,025","24,025","23,650","3.60M","-0.94%"
"08/05/2014","24,025","24,100","24,100","23,800","3.36M","0.52%"
"08/04/2014","23,900","23,100","24,500","23,100","7.19M","4.37%"
"07/25/2014","22,900","23,000","23,300","22,900","3.77M","0.00%"
"07/24/2014","22,900","23,000","23,000","22,575","1.56M","0.88%"
"07/23/2014","22,700","22,525","22,975","22,525","1.77M","-0.55%"
"07/22/2014","22,825","23,300","23,300","22,250","3.27M","-0.76%"
"07/21/2014","23,000","22,850","23,025","22,825","2.23M","1.21%"
"07/18/2014","22,725","22,900","23,225","22,625","2.58M","-0.76%"
"07/17/2014","22,900","23,500","23,775","22,800","3.58M","-1.72%"
"07/16/2014","23,300","24,000","24,000","23,250","3.17M","-2.10%"
"07/15/2014","23,800","23,500","23,900","23,425","1.66M","0.32%"
"07/14/2014","23,725","23,975","24,000","23,500","1.60M","0.96%"
"07/11/2014","23,500","23,600","24,400","23,400","2.74M","-4.47%"
"07/10/2014","24,600","24,000","25,350","23,300","6.01M","2.50%"
"07/09/2014","24,000","23,800","24,175","23,650","4.55M","0.00%"
"07/08/2014","24,000","23,800","24,175","23,650","4.55M","1.48%"
"07/07/2014","23,650","23,300","23,850","23,200","3.39M","2.16%"
"07/04/2014","23,150","23,150","23,200","23,100","1.94M","0.00%"
